image_id,date_time_original,modified_date,time_delta
27653319031,2016-05-24 08:43:59,2016-06-17 08:30:16,"23 days, 23:46:17"
22697429926,2015-10-28 06:58:48,2015-11-03 10:05:15,"6 days, 3:06:27"
6650348617,,,
12337695235,2013-07-13 01:12:58,2014-02-06 18:52:24,"208 days, 17:39:26"
8432503596,2013-01-26 07:59:13,2013-01-31 21:08:24,"5 days, 13:09:11"
15629040035,2014-10-25 21:10:16,2014-10-26 17:00:10,19:49:54
20610126982,2013-08-24 05:50:51,2015-08-16 21:33:14,"722 days, 15:42:23"
29359326241,2016-09-03 03:59:47,2016-09-03 22:18:26,18:18:39
14095127199,2014-05-25 04:59:00,2014-05-26 21:31:57,"1 day, 16:32:57"
6219236142,,,
8310392852,2012-04-19 05:58:36,2012-12-26 23:21:22,"251 days, 17:22:46"
23313968663,2015-10-28 06:54:01,2015-12-24 21:11:52,"57 days, 14:17:51"
9534473273,2013-08-17 23:39:55,2013-08-18 20:53:25,21:13:30
14086415848,2014-05-25 04:58:45,2014-05-26 21:59:04,"1 day, 17:00:19"
5669373138,,,
27534225480,2016-06-06 01:57:13,2016-06-21 20:29:04,"15 days, 18:31:51"
10486187245,2013-10-19 02:46:01,2013-10-24 21:46:54,"5 days, 19:00:53"
14191645299,2014-06-01 05:15:25,2014-06-08 21:52:53,"7 days, 16:37:28"
9587382078,2013-08-24 06:06:08,2013-08-24 22:20:35,16:14:27
15035657071,2014-08-24 07:04:43,2014-08-24 15:59:08,8:54:25
4335488443,,,
3888632330,2009-05-16 16:54:36,2014-05-25 12:19:39,"1834 days, 19:25:03"
13844211075,2013-06-01 00:18:40,2014-04-14 22:24:08,"317 days, 22:05:28"
14124294348,2014-05-30 23:42:16,2014-05-31 13:02:25,13:20:09
15720949851,2014-10-25 20:21:43,2014-11-02 20:35:18,"8 days, 0:13:35"
6132942800,,,
20067543468,2015-05-31 15:46:34,2015-07-30 17:30:27,"60 days, 1:43:53"
28069344081,2016-07-07 07:18:30,2016-07-07 19:08:45,11:50:15
28168408525,2016-07-07 06:53:25,2016-07-07 20:30:08,13:36:43
6357276861,,,
44645439685,2018-07-31 13:13:19,2018-10-25 20:47:09,"86 days, 7:33:50"
12099100483,2013-08-24 06:13:13,2014-01-23 21:23:31,"152 days, 15:10:18"
12922790264,2014-03-04 00:22:31,2014-03-03 14:24:10,"-1 day, 14:01:39"
5013180852,2010-09-22 00:46:34,2014-05-25 19:03:57,"1341 days, 18:17:23"
3391069291,,,
6207108714,,,
15621924802,2014-10-25 05:38:48,2014-10-25 19:32:00,13:53:12
26690235425,2016-04-23 23:03:03,2016-04-26 22:26:12,"2 days, 23:23:09"
7424031778,2012-06-22 10:01:00,,
14496148339,2014-05-30 23:23:33,2014-07-18 21:45:37,"48 days, 22:22:04"
29873646765,2016-07-14 18:01:57,2016-08-08 20:05:10,"25 days, 2:03:13"
11681447725,2013-12-31 04:59:01,2013-12-31 18:52:01,13:53:00
6350021370,,,
9112301403,2013-06-22 23:36:52,2013-06-23 15:55:36,16:18:44
6699825585,,,
28859007296,2016-07-14 19:05:03,2016-08-08 20:06:09,"25 days, 1:01:06"
12099446786,2013-08-24 06:03:56,2014-01-22 22:50:52,"151 days, 16:46:56"
13348143404,2013-01-26 07:29:34,2014-03-23 21:24:32,"421 days, 13:54:58"
19996441434,2013-08-24 05:50:51,2015-08-16 21:07:54,"722 days, 15:17:03"
12912675924,2014-03-03 06:13:45,2014-03-03 10:26:22,4:12:37
20181914739,2014-12-21 08:17:38,2015-08-07 22:20:37,"229 days, 14:02:59"
4693296436,,2017-01-26 12:47:07,
5814228991,,,
27347901735,2016-05-29 01:42:39,2016-05-29 20:20:25,18:37:46
6243337623,2011-09-26 13:54:59,2011-10-14 17:01:29,"18 days, 3:06:30"
6984241055,,,
35172729441,2017-05-01 15:56:23,2017-06-13 19:20:56,"43 days, 3:24:33"
6233933932,,,
21033097545,2015-08-08 12:39:39,2015-08-20 15:53:08,"12 days, 3:13:29"
19450426369,2015-06-15 13:09:53,2015-07-12 18:17:07,"27 days, 5:07:14"
15142221196,2014-02-07 08:46:38,2014-09-07 11:05:44,"212 days, 2:19:06"
33865932575,2016-12-16 08:15:35,2017-04-06 13:30:31,"111 days, 5:14:56"
6225895624,,,
2647408576,2008-06-06 20:38:15,,
5984270138,,,
28562052230,2016-07-14 18:28:13,2016-08-07 15:24:20,"23 days, 20:56:07"
36946659120,2017-07-30 11:43:59,2017-08-14 20:05:09,"15 days, 8:21:10"
14029339573,2014-04-19 15:09:16,2014-04-22 20:15:29,"3 days, 5:06:13"
10462415125,2013-10-22 10:32:19,2013-10-24 20:33:13,"2 days, 10:00:54"
23251917722,2015-11-27 08:10:20,2015-11-28 12:54:07,"1 day, 4:43:47"
15427881539,2014-09-04 08:25:52,2014-10-24 22:37:40,"50 days, 14:11:48"
4507059471,,,
6908478597,,,
27448330960,2016-05-08 18:28:11,2016-06-12 13:35:35,"34 days, 19:07:24"
14446676900,2014-07-12 04:45:26,2014-07-12 18:46:58,14:01:32
3909300346,,,
6362150571,,,
28534660022,2016-07-29 21:39:31,2016-07-30 12:26:25,14:46:54
5926314392,2011-07-09 10:24:16,2011-07-11 00:34:21,"1 day, 14:10:05"
22552437982,2015-10-28 07:46:13,2016-01-08 15:14:59,"72 days, 7:28:46"
16068020762,2014-12-21 04:26:23,2014-12-21 18:52:20,14:25:57
9321294269,2013-07-13 04:14:04,2013-07-16 22:40:40,"3 days, 18:26:36"
34479822011,2017-04-17 18:00:43,2017-04-24 12:34:55,"6 days, 18:34:12"
6825023424,,,
9220211179,2013-06-22 23:39:01,2013-07-06 20:23:03,"13 days, 20:44:02"
5270765382,,,
4375353644,,,
